headline_id,headline_text,candidate_ids,party_ids,labeled_at,labeled_by
1,"Bernardo Arévalo asume la presidencia tras la jornada del 14 de enero",11,,2026-05-22,fixture
2,"Sandra Torres impugna el resultado de la segunda elección",12,,2026-05-22,fixture
3,"Giammattei concluye su mandato en medio de cuestionamientos",13,,2026-05-22,fixture
4,"Zury Ríos llama a la unidad de la derecha",14,,2026-05-22,fixture
5,"Edmond Mulet anuncia gira por el interior del país",15,,2026-05-22,fixture
6,"Movimiento Semilla mantiene su personalidad jurídica bajo apelación",,21,2026-05-22,fixture
7,"La UNE encabeza las encuestas para diputaciones distritales",,22,2026-05-22,fixture
8,"Vamos sufre la salida de cinco diputados",,23,2026-05-22,fixture
9,"El partido Valor pierde tres alcaldías frente a Cabal",,24 25,2026-05-22,fixture
10,"Sandra Torres y Bernardo Arévalo se disputan la segunda vuelta",11 12,,2026-05-22,fixture
11,"Arévalo se reúne con la bancada de Semilla en el Congreso",11,21,2026-05-22,fixture
12,"Torres critica al gobierno de Giammattei en cadena nacional",12 13,,2026-05-22,fixture
13,"El candidato de Semilla agradece a sus votantes",11,21,2026-05-22,fixture
14,"La aspirante por la UNE convoca a una manifestación",12,22,2026-05-22,fixture
15,"El abanderado de Vamos rechaza las acusaciones del Ministerio Público",13,23,2026-05-22,fixture
16,"Tormenta tropical Pilar deja inundaciones en la costa sur",,,2026-05-22,fixture
17,"Selección nacional de fútbol pierde ante Honduras",,,2026-05-22,fixture
18,"El Ministerio de Salud alerta sobre brote de dengue",,,2026-05-22,fixture
19,"La inflación interanual cierra en 4.3 por ciento según el Banguat",,,2026-05-22,fixture
20,"Comerciantes del mercado La Terminal exigen mejoras de seguridad",,,2026-05-22,fixture
21,"Arévalo y Torres se reúnen por separado con representantes de la CIDH",11 12,,2026-05-22,fixture
22,"Giammattei firma decreto en favor de Vamos antes de dejar el cargo",13,23,2026-05-22,fixture
23,"Mulet y Zury Ríos coinciden en críticas a la fiscal general",14 15,,2026-05-22,fixture
24,"Movimiento Semilla y la UNE se enfrentan en el pleno por la ley de competencia",,21 22,2026-05-22,fixture
25,"Bernardo Arévalo de León presenta su plan económico",11,,2026-05-22,fixture
26,"La Unidad Nacional de la Esperanza presenta candidaturas distritales",,22,2026-05-22,fixture
27,"Sandra Julieta Torres declara ante el TSE",12,,2026-05-22,fixture
28,"Cabal anuncia su nuevo secretario general",,25,2026-05-22,fixture
29,"Valor presenta plataforma legislativa para 2027",,24,2026-05-22,fixture
30,"Niños de Sololá ganan certamen nacional de matemáticas",,,2026-05-22,fixture
